Date,Hour,Temperature,Precipitation,Snow,Wind Speed
2009-05-01,6,72.0,0.0,0.0,10.0
2009-05-01,12,77.0,0.0,0.0,10.0
2009-05-01,18,82.0,0.0,0.0,10.0
2009-05-01,24,77.0,0.0,0.0,10.0
2009-05-02,6,72.0,0.0,0.0,10.0
2009-05-02,12,77.0,0.0,0.0,10.0
2009-05-02,18,82.0,0.0,0.0,10.0
2009-05-02,24,77.0,0.0,0.0,10.0
2009-05-03,6,72.0,0.0,0.0,10.0
2009-05-03,12,77.0,0.0,0.0,10.0
2009-05-03,18,82.0,0.0,0.0,10.0
2009-05-03,24,77.0,0.0,0.0,10.0
2009-05-04,6,60.0,0.0075,0.0,4.0
2009-05-04,12,65.5,0.0075,0.0,4.0
2009-05-04,18,69.0,0.0075,0.0,4.0
2009-05-04,24,65.5,0.0075,0.0,4.0
2009-05-05,6,64.0,0.0025,0.0,7.6
2009-05-05,12,73.5,0.0025,0.0,7.6
2009-05-05,18,81.0,0.0025,0.0,7.6
2009-05-05,24,73.5,0.0025,0.0,7.6
2009-05-06,6,67.0,0.0325,0.0,7.1
2009-05-06,12,74.0,0.0325,0.0,7.1
2009-05-06,18,81.0,0.0325,0.0,7.1
2009-05-06,24,74.0,0.0325,0.0,7.1
2009-05-07,6,73.0,0.0,0.0,8.9
2009-05-07,12,79.0,0.0,0.0,8.9
2009-05-07,18,85.0,0.0,0.0,8.9
2009-05-07,24,79.0,0.0,0.0,8.9
2009-05-08,6,73.0,0.0,0.0,13.6
2009-05-08,12,81.0,0.0,0.0,13.6
2009-05-08,18,89.0,0.0,0.0,13.6
2009-05-08,24,81.0,0.0,0.0,13.6
2009-05-09,6,67.0,0.0,0.0,8.1
2009-05-09,12,75.5,0.0,0.0,8.1
2009-05-09,18,82.0,0.0,0.0,8.1
2009-05-09,24,75.5,0.0,0.0,8.1
2009-05-10,6,66.0,0.0,0.0,5.8
2009-05-10,12,75.0,0.0,0.0,5.8
2009-05-10,18,84.0,0.0,0.0,5.8
2009-05-10,24,75.0,0.0,0.0,5.8
2009-05-11,6,62.0,0.095,0.0,9.8
2009-05-11,12,71.5,0.095,0.0,9.8
2009-05-11,18,79.0,0.095,0.0,9.8
2009-05-11,24,71.5,0.095,0.0,9.8
