Latitude,Longitude,Max Temp,Min Temp,Avg Temp,Temp Departure,Heating Degree Days,Cooling Degree Days,Total Precip,Total Snow,Snow Depth,Avg Wind Speed,Max Wind Speed,Max Wind Direction,Minutes of Sunshine,Possible Sunshine Percent,Station,Date
33.6,97.78333333333332,80,67,74,8,0,9,0.00,0.0,0,9.0,15,160,M,M,0F2,2009-05-01
33.6,97.78333333333332,67,54,61,-5,4,0,0.01,0.0,0,5.5,12,330,M,M,0F2,2009-05-02
33.6,97.78333333333332,61,53,57,-9,8,0,0.00,0.0,0,8.9,13,330,M,M,0F2,2009-05-03
33.6,97.78333333333332,67,49,58,-9,7,0,0.00,0.0,0,4.7,8,80,M,M,0F2,2009-05-04
33.6,97.78333333333332,70,54,62,-5,3,0,0.01,0.0,0,5.4,10,130,M,M,0F2,2009-05-05
33.6,97.78333333333332,79,60,70,3,0,5,0.04,0.0,0,3.5,14,50,M,M,0F2,2009-05-06
33.6,97.78333333333332,86,62,74,7,0,9,0.00,0.0,0,9.0,15,150,M,M,0F2,2009-05-07
33.6,97.78333333333332,90,69,80,12,0,15,0.00,0.0,0,11.2,16,180,M,M,0F2,2009-05-08
33.6,97.78333333333332,74,60,67,-1,0,2,0.00,0.0,0,8.5,16,40,M,M,0F2,2009-05-09
33.6,97.78333333333332,63,57,60,-8,5,0,0.01,0.0,0,3.8,12,40,M,M,0F2,2009-05-10
33.6,97.78333333333332,63,55,59,-9,6,0,0.05,0.0,0,7.0,14,120,M,M,0F2,2009-05-11
33.6,97.78333333333332,85,57,71,2,0,6,0.00,0.0,0,10.2,18,160,M,M,0F2,2009-05-12
33.6,97.78333333333332,90,69,80,11,0,15,0.00,0.0,0,15.9,22,170,M,M,0F2,2009-05-13
33.6,97.78333333333332,80,66,73,4,0,8,0.00,0.0,0,9.9,17,160,M,M,0F2,2009-05-14
33.6,97.78333333333332,84,65,75,5,0,10,0.00,0.0,0,11.3,20,160,M,M,0F2,2009-05-15
33.6,97.78333333333332,74,54,64,-6,1,0,0.12,0.0,0,8.5,18,360,M,M,0F2,2009-05-16
33.6,97.78333333333332,71,48,60,-10,5,0,0.00,0.0,0,4.9,9,30,M,M,0F2,2009-05-17
33.6,97.78333333333332,74,49,62,-8,3,0,0.00,0.0,0,3.8,9,100,M,M,0F2,2009-05-18
33.6,97.78333333333332,77,47,62,-9,3,0,0.00,0.0,0,4.7,12,160,M,M,0F2,2009-05-19
33.6,97.78333333333332,78,49,64,-7,1,0,0.00,0.0,0,3.5,12,160,M,M,0F2,2009-05-20
33.6,97.78333333333332,82,51,67,-4,0,2,0.00,0.0,0,4.7,12,150,M,M,0F2,2009-05-21
33.6,97.78333333333332,83,60,72,0,0,7,0.00,0.0,0,4.2,9,100,M,M,0F2,2009-05-22
33.6,97.78333333333332,82,64,73,1,0,8,0.00,0.0,0,4.1,10,90,M,M,0F2,2009-05-23
33.6,97.78333333333332,81,60,71,-1,0,6,M,0.0,0,2.6,9,60,M,M,0F2,2009-05-24
33.6,97.78333333333332,84,61,73,1,0,8,0.00,0.0,0,2.8,8,300,M,M,0F2,2009-05-25
33.6,97.78333333333332,87,64,76,3,0,11,0.00,0.0,0,5.8,15,340,M,M,0F2,2009-05-26
33.6,97.78333333333332,75,56,66,-7,0,1,0.01,0.0,0,9.5,17,330,M,M,0F2,2009-05-27
33.6,97.78333333333332,82,51,67,-6,0,2,0.00,0.0,0,3.0,9,330,M,M,0F2,2009-05-28
33.6,97.78333333333332,85,50,68,-6,0,3,0.00,0.0,0,1.6,6,300,M,M,0F2,2009-05-29
33.6,97.78333333333332,87,53,70,-4,0,5,0.00,0.0,0,3.1,8,160,M,M,0F2,2009-05-30
33.6,97.78333333333332,91,54,73,-1,0,8,0.00,0.0,0,3.9,10,120,M,M,0F2,2009-05-31
33.6,97.78333333333332,86,67,77,2,0,12,M,0.0,0,9.2,16,160,M,M,0F2,2009-06-01
33.6,97.78333333333332,81,62,72,-3,0,7,0.13,0.0,0,5.2,18,280,M,M,0F2,2009-06-02
33.6,97.78333333333332,74,64,69,-6,0,4,0.00,0.0,0,10.2,16,340,M,M,0F2,2009-06-03
33.6,97.78333333333332,78,59,69,-6,0,4,0.00,0.0,0,7.4,14,360,M,M,0F2,2009-06-04
33.6,97.78333333333332,83,53,68,-8,0,3,0.00,0.0,0,3.4,13,150,M,M,0F2,2009-06-05
33.6,97.78333333333332,90,62,76,0,0,11,0.00,0.0,0,10.1,18,160,M,M,0F2,2009-06-06
33.6,97.78333333333332,88,69,79,3,0,14,0.00,0.0,0,12.0,18,180,M,M,0F2,2009-06-07
33.6,97.78333333333332,90,68,79,2,0,14,M,0.0,0,9.5,14,170,M,M,0F2,2009-06-08
33.6,97.78333333333332,89,72,81,4,0,16,0.00,0.0,0,11.3,16,180,M,M,0F2,2009-06-09
33.6,97.78333333333332,82,61,72,-5,0,7,0.01,0.0,0,8.8,22,360,M,M,0F2,2009-06-10
33.6,97.78333333333332,82,61,72,-5,0,7,M,0.0,0,5.6,17,160,M,M,0F2,2009-06-11
33.6,97.78333333333332,91,66,79,1,0,14,0.00,0.0,0,6.6,14,160,M,M,0F2,2009-06-12
33.6,97.78333333333332,91,66,79,1,0,14,0.28,0.0,0,5.2,17,330,M,M,0F2,2009-06-13
33.6,97.78333333333332,89,64,77,-1,0,12,0.00,0.0,0,8.6,15,160,M,M,0F2,2009-06-14
33.6,97.78333333333332,91,72,82,4,0,17,0.00,0.0,0,10.1,18,160,M,M,0F2,2009-06-15
33.6,97.78333333333332,91,73,82,4,0,17,0.00,0.0,0,11.5,20,190,M,M,0F2,2009-06-16
33.6,97.78333333333332,91,71,81,2,0,16,0.00,0.0,0,9.7,16,160,M,M,0F2,2009-06-17
33.6,97.78333333333332,91,69,80,1,0,15,0.00,0.0,0,10.0,18,170,M,M,0F2,2009-06-18
33.6,97.78333333333332,87,73,80,1,0,15,0.00,0.0,0,9.5,17,190,M,M,0F2,2009-06-19
33.6,97.78333333333332,92,72,82,3,0,17,0.00,0.0,0,11.2,17,150,M,M,0F2,2009-06-20
33.6,97.78333333333332,93,75,84,4,0,19,0.00,0.0,0,10.1,15,200,M,M,0F2,2009-06-21
33.6,97.78333333333332,96,70,83,3,0,18,0.00,0.0,0,5.5,13,150,M,M,0F2,2009-06-22
33.6,97.78333333333332,98,69,84,4,0,19,0.00,0.0,0,2.4,7,100,M,M,0F2,2009-06-23
33.6,97.78333333333332,97,69,83,3,0,18,0.00,0.0,0,2.0,8,90,M,M,0F2,2009-06-24
33.6,97.78333333333332,98,70,84,4,0,19,0.00,0.0,0,3.1,9,100,M,M,0F2,2009-06-25
33.6,97.78333333333332,98,66,82,2,0,17,0.00,0.0,0,3.7,10,190,M,M,0F2,2009-06-26
33.6,97.78333333333332,101,70,86,6,0,21,0.00,0.0,0,3.7,8,190,M,M,0F2,2009-06-27
33.6,97.78333333333332,98,73,86,5,0,21,0.00,0.0,0,4.6,10,70,M,M,0F2,2009-06-28
33.6,97.78333333333332,84,67,76,-5,0,11,0.06,0.0,0,3.7,17,340,M,M,0F2,2009-06-29
33.6,97.78333333333332,90,72,81,0,0,16,0.00,0.0,0,2.2,6,170,M,M,0F2,2009-06-30
33.6,97.78333333333332,93,69,81,0,0,16,0.00,0.0,0,2.5,6,70,M,M,0F2,2009-07-01
33.6,97.78333333333332,96,68,82,1,0,17,0.00,0.0,0,1.5,7,80,M,M,0F2,2009-07-02
33.6,97.78333333333332,97,71,84,2,0,19,0.00,0.0,0,6.2,14,160,M,M,0F2,2009-07-03
33.6,97.78333333333332,97,73,85,3,0,20,M,0.0,0,8.5,17,190,M,M,0F2,2009-07-04
33.6,97.78333333333332,77,71,74,-8,0,9,0.60,0.0,0,3.8,7,10,M,M,0F2,2009-07-05
33.6,97.78333333333332,82,65,74,-8,0,9,0.00,0.0,0,4.9,9,360,M,M,0F2,2009-07-06
33.6,97.78333333333332,89,65,77,-5,0,12,0.00,0.0,0,1.7,6,90,M,M,0F2,2009-07-07
33.6,97.78333333333332,96,69,83,1,0,18,0.00,0.0,0,7.3,14,120,M,M,0F2,2009-07-08
33.6,97.78333333333332,99,72,86,4,0,21,0.00,0.0,0,8.3,14,180,M,M,0F2,2009-07-09
33.6,97.78333333333332,99,74,87,5,0,22,0.00,0.0,0,8.7,16,190,M,M,0F2,2009-07-10
33.6,97.78333333333332,98,74,86,3,0,21,0.00,0.0,0,6.5,9,220,M,M,0F2,2009-07-11
33.6,97.78333333333332,99,68,84,1,0,19,0.00,0.0,0,4.9,12,160,M,M,0F2,2009-07-12
33.6,97.78333333333332,100,73,87,4,0,22,0.00,0.0,0,5.8,10,150,M,M,0F2,2009-07-13
