Latitude,Longitude,Max Temp,Min Temp,Avg Temp,Temp Departure,Heating Degree Days,Cooling Degree Days,Total Precip,Total Snow,Snow Depth,Avg Wind Speed,Max Wind Speed,Max Wind Direction,Minutes of Sunshine,Possible Sunshine Percent,Station,Date
31.633333333333333,97.0,75,45,60,M,5,0,M,M,M,4.3,5,350,M,M,CNW,2020-11-01
31.633333333333333,97.0,72,37,55,M,10,0,M,M,M,2.2,7,150,M,M,CNW,2020-11-02
31.633333333333333,97.0,77,39,58,M,7,0,M,M,M,4.9,9,150,M,M,CNW,2020-11-03
31.633333333333333,97.0,77,M,M,M,M,M,M,M,M,7.9,14,160,M,M,CNW,2020-11-04
31.633333333333333,97.0,79,50,65,M,0,0,M,M,M,6.7,13,180,M,M,CNW,2020-11-05
31.633333333333333,97.0,77,55,66,M,0,1,M,M,M,5.8,8,120,M,M,CNW,2020-11-06
31.633333333333333,97.0,77,50,64,M,1,0,M,M,M,3.1,7,130,M,M,CNW,2020-11-07
31.633333333333333,97.0,73,57,65,M,0,0,M,M,M,4.9,14,140,M,M,CNW,2020-11-08
31.633333333333333,97.0,82,63,73,M,0,8,M,M,M,8.6,16,170,M,M,CNW,2020-11-09
31.633333333333333,97.0,77,54,66,M,0,1,M,M,M,6.0,10,210,M,M,CNW,2020-11-10
31.633333333333333,97.0,79,45,62,M,3,0,M,M,M,3.6,6,350,M,M,CNW,2020-11-11
31.633333333333333,97.0,82,48,65,M,0,0,M,M,M,4.1,9,180,M,M,CNW,2020-11-12
31.633333333333333,97.0,75,57,66,M,0,1,M,M,M,2.6,7,30,M,M,CNW,2020-11-13
31.633333333333333,97.0,82,68,75,M,0,10,M,M,M,11.8,21,200,M,M,CNW,2020-11-14
31.633333333333333,97.0,68,41,55,M,10,0,M,M,M,7.3,14,20,M,M,CNW,2020-11-15
31.633333333333333,97.0,72,32,52,M,13,0,M,M,M,2.3,6,190,M,M,CNW,2020-11-16
31.633333333333333,97.0,75,36,56,M,9,0,M,M,M,1.6,6,150,M,M,CNW,2020-11-17
31.633333333333333,97.0,75,39,57,M,8,0,M,M,M,7.4,13,170,M,M,CNW,2020-11-18
31.633333333333333,97.0,81,50,66,M,0,1,M,M,M,16.7128,200,M,M,2,CNW,2020-11-19
31.633333333333333,97.0,77,59,68,M,0,3,M,M,M,6.4,14,190,M,M,CNW,2020-11-20
31.633333333333333,97.0,79,63,71,M,0,6,M,M,M,3.2,9,160,M,M,CNW,2020-11-21
31.633333333333333,97.0,73,50,62,M,3,0,M,M,M,9.3,13,10,M,M,CNW,2020-11-22
31.633333333333333,97.0,59,50,55,M,10,0,M,M,M,6.3,9,140,M,M,CNW,2020-11-23
31.633333333333333,97.0,77,61,69,M,0,4,M,M,M,11.3,21,170,M,M,CNW,2020-11-24
31.633333333333333,97.0,64,41,53,M,12,0,M,M,M,4.8,8,300,M,M,CNW,2020-11-25
31.633333333333333,97.0,82,37,60,M,5,0,M,M,M,6.1,13,170,M,M,CNW,2020-11-26
31.633333333333333,97.0,63,55,59,M,6,0,M,M,M,6.8,12,10,M,M,CNW,2020-11-27
31.633333333333333,97.0,59,48,54,M,11,0,M,M,M,5.9,9,320,M,M,CNW,2020-11-28
31.633333333333333,97.0,54,46,50,M,15,0,M,M,M,12.4,21,340,M,M,CNW,2020-11-29
31.633333333333333,97.0,52,30,41,M,24,0,M,M,M,14.0128,350,M,M,0,CNW,2020-11-30
31.633333333333333,97.0,59,27,43,M,22,0,M,M,M,10.2,20,160,M,M,CNW,2020-12-01
31.633333333333333,97.0,59,43,51,M,14,0,M,M,M,6.8,13,320,M,M,CNW,2020-12-02
31.633333333333333,97.0,48,34,41,M,24,0,M,M,M,9.6,17,330,M,M,CNW,2020-12-03
31.633333333333333,97.0,55,34,45,M,20,0,M,M,M,3.9,8,280,M,M,CNW,2020-12-04
31.633333333333333,97.0,59,30,45,M,20,0,M,M,M,2.1,5,190,M,M,CNW,2020-12-05
31.633333333333333,97.0,63,39,51,M,14,0,M,M,M,7.6,15,330,M,M,CNW,2020-12-06
31.633333333333333,97.0,64,41,53,M,12,0,M,M,M,5.3,9,330,M,M,CNW,2020-12-07
31.633333333333333,97.0,73,32,53,M,12,0,M,M,M,4.1,8,280,M,M,CNW,2020-12-08
31.633333333333333,97.0,81,34,58,M,7,0,M,M,M,4.3,8,230,M,M,CNW,2020-12-09
31.633333333333333,97.0,77,39,58,M,7,0,M,M,M,10.1,16,170,M,M,CNW,2020-12-10
31.633333333333333,97.0,64,54,59,M,6,0,M,M,M,6.1,9,340,M,M,CNW,2020-12-11
31.633333333333333,97.0,57,39,48,M,17,0,M,M,M,6.0,14,360,M,M,CNW,2020-12-12
31.633333333333333,97.0,46,39,43,M,22,0,M,M,M,13.7,25,320,M,M,CNW,2020-12-13
31.633333333333333,97.0,50,36,43,M,22,0,M,M,M,5.6,13,350,M,M,CNW,2020-12-14
31.633333333333333,97.0,46,46,46,M,19,0,M,M,M,4.2,7,110,M,M,CNW,2020-12-15
31.633333333333333,97.0,48,30,39,M,26,0,M,M,M,7.2,14,330,M,M,CNW,2020-12-16
31.633333333333333,97.0,61,27,44,M,21,0,M,M,M,4.8,9,150,M,M,CNW,2020-12-17
31.633333333333333,97.0,63,32,48,M,17,0,M,M,M,9.7,17,160,M,M,CNW,2020-12-18
31.633333333333333,97.0,63,39,51,M,14,0,M,M,M,4.9,13,320,M,M,CNW,2020-12-19
31.633333333333333,97.0,66,41,54,M,11,0,M,M,M,2.3,6,280,M,M,CNW,2020-12-20
31.633333333333333,97.0,72,32,52,M,13,0,M,M,M,3.0,9,150,M,M,CNW,2020-12-21
31.633333333333333,97.0,72,41,57,M,8,0,M,M,M,9.9,17,160,M,M,CNW,2020-12-22
31.633333333333333,97.0,77,45,61,M,4,0,M,M,M,18.5,29,340,M,M,CNW,2020-12-23
31.633333333333333,97.0,55,28,42,M,23,0,M,M,M,8.8,15,280,M,M,CNW,2020-12-24
31.633333333333333,97.0,63,28,46,M,19,0,M,M,M,3.5,6,220,M,M,CNW,2020-12-25
31.633333333333333,97.0,70,32,51,M,14,0,M,M,M,9.1,17,180,M,M,CNW,2020-12-26
31.633333333333333,97.0,77,48,63,M,2,0,M,M,M,8.5,20,220,M,M,CNW,2020-12-27
31.633333333333333,97.0,61,54,58,M,7,0,M,M,M,5.7,10,40,M,M,CNW,2020-12-28
31.633333333333333,97.0,72,57,65,M,0,0,M,M,M,14.4,23,150,M,M,CNW,2020-12-29
31.633333333333333,97.0,64,41,53,M,12,0,M,M,M,13.9,29,330,M,M,CNW,2020-12-30
31.633333333333333,97.0,41,37,39,M,26,0,M,M,M,12.1,17,360,M,M,CNW,2020-12-31
31.633333333333333,97.0,41,36,39,M,26,0,M,M,M,10.7,14,290,M,M,CNW,2021-01-01
31.633333333333333,97.0,57,32,45,M,20,0,M,M,M,5.6,8,290,M,M,CNW,2021-01-02
31.633333333333333,97.0,68,32,50,M,15,0,M,M,M,9.8,20,210,M,M,CNW,2021-01-03
31.633333333333333,97.0,68,34,51,M,14,0,M,M,M,4.4,8,360,M,M,CNW,2021-01-04
31.633333333333333,97.0,68,36,52,M,13,0,M,M,M,7.2,10,170,M,M,CNW,2021-01-05
31.633333333333333,97.0,61,52,57,M,8,0,M,M,M,14.5,23,320,M,M,CNW,2021-01-06
31.633333333333333,97.0,55,37,46,M,19,0,M,M,M,11.4,21,310,M,M,CNW,2021-01-07
31.633333333333333,97.0,48,32,40,M,25,0,M,M,M,6.4,13,340,M,M,CNW,2021-01-08
31.633333333333333,97.0,50,28,39,M,26,0,M,M,M,4.7,7,60,M,M,CNW,2021-01-09
31.633333333333333,97.0,39,32,36,M,29,0,M,M,M,8.1,9,320,M,M,CNW,2021-01-10
31.633333333333333,97.0,43,32,38,M,27,0,M,M,M,6.0,10,330,M,M,CNW,2021-01-11
31.633333333333333,97.0,52,27,40,M,25,0,M,M,M,3.3,8,160,M,M,CNW,2021-01-12
31.633333333333333,97.0,63,23,43,M,22,0,M,M,M,7.6,12,160,M,M,CNW,2021-01-13
31.633333333333333,97.0,66,37,52,M,13,0,M,M,M,13.7,24,340,M,M,CNW,2021-01-14
31.633333333333333,97.0,57,36,47,M,18,0,M,M,M,14.6,25,290,M,M,CNW,2021-01-15
31.633333333333333,97.0,59,32,46,M,19,0,M,M,M,4.1,9,280,M,M,CNW,2021-01-16
31.633333333333333,97.0,63,34,49,M,16,0,M,M,M,5.3,13,340,M,M,CNW,2021-01-17
31.633333333333333,97.0,72,30,51,M,14,0,M,M,M,10.5,22,190,M,M,CNW,2021-01-18
31.633333333333333,97.0,55,48,52,M,13,0,M,M,M,11.3,14,10,M,M,CNW,2021-01-19
31.633333333333333,97.0,54,46,50,M,15,0,M,M,M,5.2,9,100,M,M,CNW,2021-01-20
31.633333333333333,97.0,63,48,56,M,9,0,M,M,M,4.2,9,220,M,M,CNW,2021-01-21
31.633333333333333,97.0,55,50,53,M,12,0,M,M,M,6.7,9,360,M,M,CNW,2021-01-22
31.633333333333333,97.0,59,50,55,M,10,0,M,M,M,3.6,7,120,M,M,CNW,2021-01-23
31.633333333333333,97.0,68,57,63,M,2,0,M,M,M,6.3,14,150,M,M,CNW,2021-01-24
31.633333333333333,97.0,72,46,59,M,6,0,M,M,M,10.5,18,310,M,M,CNW,2021-01-25
31.633333333333333,97.0,63,39,51,M,14,0,M,M,M,8.5,13,10,M,M,CNW,2021-01-26
31.633333333333333,97.0,55,37,46,M,19,0,M,M,M,10.9,17,340,M,M,CNW,2021-01-27
