Latitude,Longitude,Max Temp,Min Temp,Avg Temp,Temp Departure,Heating Degree Days,Cooling Degree Days,Total Precip,Total Snow,Snow Depth,Avg Wind Speed,Max Wind Speed,Max Wind Direction,Minutes of Sunshine,Possible Sunshine Percent,Station,Date
32.4,0.0,71,35,53,M,12,0,0.00,M,M,0.0,M,M,M,M,ETN,2020-11-01
32.4,0.0,71,29,50,M,15,0,0.00,M,M,2.6,12,200,M,M,ETN,2020-11-02
32.4,0.0,77,32,55,M,10,0,0.00,M,M,6.5,15,180,M,M,ETN,2020-11-03
32.4,0.0,77,41,59,M,6,0,0.00,M,M,10.0,20,190,M,M,ETN,2020-11-04
32.4,0.0,82,44,63,M,2,0,0.00,M,M,5.1,15,200,M,M,ETN,2020-11-05
32.4,0.0,78,40,59,M,6,0,0.00,M,M,7.0,66,90,M,M,ETN,2020-11-06
32.4,0.0,75,48,62,M,3,0,0.00,M,M,8.2,14,140,M,M,ETN,2020-11-07
32.4,0.0,77,48,63,M,2,0,0.00,M,M,11.7,20,170,M,M,ETN,2020-11-08
32.4,0.0,76,59,68,M,0,3,0.00,M,M,13.4,22,170,M,M,ETN,2020-11-09
32.4,0.0,71,37,54,M,11,0,0.00,M,M,6.0,18,310,M,M,ETN,2020-11-10
32.4,0.0,76,31,54,M,11,0,0.00,M,M,3.5,10,160,M,M,ETN,2020-11-11
32.4,0.0,82,44,63,M,2,0,0.00,M,M,5.2,13,210,M,M,ETN,2020-11-12
32.4,0.0,69,49,59,M,6,0,0.00,M,M,5.7,12,10,M,M,ETN,2020-11-13
32.4,0.0,80,61,71,M,0,6,0.00,M,M,11.8,23,200,M,M,ETN,2020-11-14
32.4,0.0,66,30,48,M,17,0,0.00,M,M,5.7,21,330,M,M,ETN,2020-11-15
32.4,0.0,73,25,49,M,16,0,0.00,M,M,4.0,13,180,M,M,ETN,2020-11-16
32.4,0.0,72,28,50,M,15,0,0.00,M,M,4.8,15,150,M,M,ETN,2020-11-17
32.4,0.0,74,30,52,M,13,0,0.00,M,M,9.0,20,180,M,M,ETN,2020-11-18
32.4,0.0,77,55,66,M,0,1,0.00,M,M,12.4,20,200,M,M,ETN,2020-11-19
32.4,0.0,77,52,65,M,0,0,0.00,M,M,9.2,17,180,M,M,ETN,2020-11-20
32.4,0.0,77,45,61,M,4,0,0.00,M,M,3.4,13,210,M,M,ETN,2020-11-21
32.4,0.0,59,44,52,M,13,0,0.00,M,M,7.1,14,360,M,M,ETN,2020-11-22
32.4,0.0,64,36,50,M,15,0,0.00,M,M,8.6,16,140,M,M,ETN,2020-11-23
32.4,0.0,81,52,67,M,0,2,0.07,M,M,15.1,29,200,M,M,ETN,2020-11-24
32.4,0.0,64,32,48,M,17,0,0.00,M,M,4.6,15,310,M,M,ETN,2020-11-25
32.4,0.0,77,32,55,M,10,0,0.00,M,M,6.0,16,210,M,M,ETN,2020-11-26
32.4,0.0,61,44,53,M,12,0,M,M,M,8.3,15,30,M,M,ETN,2020-11-27
32.4,0.0,47,40,44,M,21,0,0.23,M,M,7.1,9,300,M,M,ETN,2020-11-28
32.4,0.0,50,40,45,M,20,0,0.00,M,M,10.5,18,360,M,M,ETN,2020-11-29
32.4,0.0,49,19,34,M,31,0,0.00,M,M,7.6,21,350,M,M,ETN,2020-11-30
32.4,0.0,62,16,39,M,26,0,0.00,M,M,9.4,22,200,M,M,ETN,2020-12-01
32.4,0.0,51,26,39,M,26,0,0.00,M,M,10.4,20,310,M,M,ETN,2020-12-02
32.4,0.0,43,26,35,M,30,0,0.00,M,M,11.4,20,320,M,M,ETN,2020-12-03
32.4,0.0,58,18,38,M,27,0,0.00,M,M,3.1,9,350,M,M,ETN,2020-12-04
32.4,0.0,60,21,41,M,24,0,M,M,M,3.5,15,320,M,M,ETN,2020-12-05
32.4,0.0,60,28,44,M,21,0,M,M,M,6.9,17,350,M,M,ETN,2020-12-06
32.4,0.0,64,24,44,M,21,0,0.00,M,M,1.9,9,330,M,M,ETN,2020-12-07
32.4,0.0,71,25,48,M,17,0,0.00,M,M,2.5,9,330,M,M,ETN,2020-12-08
32.4,0.0,78,25,52,M,13,0,0.00,M,M,2.6,14,240,M,M,ETN,2020-12-09
32.4,0.0,78,28,53,M,12,0,0.00,M,M,7.0,16,200,M,M,ETN,2020-12-10
32.4,0.0,64,36,50,M,15,0,0.02,M,M,6.5,14,330,M,M,ETN,2020-12-11
32.4,0.0,53,26,40,M,25,0,0.00,M,M,4.0,8,130,M,M,ETN,2020-12-12
32.4,0.0,41,29,35,M,30,0,0.01,M,M,10.1,18,340,M,M,ETN,2020-12-13
32.4,0.0,48,16,32,M,33,0,0.00,M,M,5.6,12,140,M,M,ETN,2020-12-14
32.4,0.0,56,32,44,M,21,0,0.00,M,M,9.7,18,310,M,M,ETN,2020-12-15
32.4,0.0,50,22,36,M,29,0,0.00,M,M,4.8,10,310,M,M,ETN,2020-12-16
32.4,0.0,61,18,40,M,25,0,0.00,M,M,3.7,12,160,M,M,ETN,2020-12-17
32.4,0.0,61,38,50,M,15,0,0.00,M,M,11.7,22,180,M,M,ETN,2020-12-18
32.4,0.0,57,28,43,M,22,0,0.00,M,M,6.2,17,320,M,M,ETN,2020-12-19
32.4,0.0,63,22,43,M,22,0,0.00,M,M,3.2,13,320,M,M,ETN,2020-12-20
32.4,0.0,72,24,48,M,17,0,0.00,M,M,2.8,9,210,M,M,ETN,2020-12-21
32.4,0.0,71,26,49,M,16,0,0.00,M,M,9.2,24,180,M,M,ETN,2020-12-22
32.4,0.0,65,32,49,M,16,0,0.00,M,M,15.1,23,350,M,M,ETN,2020-12-23
32.4,0.0,55,17,36,M,29,0,0.00,M,M,8.1,18,310,M,M,ETN,2020-12-24
32.4,0.0,67,19,43,M,22,0,0.00,M,M,2.1,10,270,M,M,ETN,2020-12-25
32.4,0.0,69,23,46,M,19,0,0.00,M,M,7.4,22,200,M,M,ETN,2020-12-26
32.4,0.0,73,44,59,M,6,0,0.00,M,M,9.2,15,220,M,M,ETN,2020-12-27
32.4,0.0,56,29,43,M,22,0,M,M,M,7.6,15,120,M,M,ETN,2020-12-28
32.4,0.0,69,53,61,M,4,0,0.00,M,M,15.6,22,150,M,M,ETN,2020-12-29
32.4,0.0,60,35,48,M,17,0,0.01,M,M,14.0,22,340,M,M,ETN,2020-12-30
32.4,0.0,35,30,33,M,32,0,M,M,M,14.5,23,10,M,M,ETN,2020-12-31
32.4,0.0,41,29,35,M,30,0,M,M,M,9.9,16,310,M,M,ETN,2021-01-01
32.4,0.0,58,27,43,M,22,0,0.00,M,M,3.4,12,270,M,M,ETN,2021-01-02
32.4,0.0,63,28,46,M,19,0,0.00,M,M,6.6,14,270,M,M,ETN,2021-01-03
32.4,0.0,64,26,45,M,20,0,0.00,M,M,3.8,14,10,M,M,ETN,2021-01-04
32.4,0.0,65,23,44,M,21,0,0.00,M,M,6.6,18,170,M,M,ETN,2021-01-05
