Latitude,Longitude,Max Temp,Min Temp,Avg Temp,Temp Departure,Heating Degree Days,Cooling Degree Days,Total Precip,Total Snow,Snow Depth,Avg Wind Speed,Max Wind Speed,Max Wind Direction,Minutes of Sunshine,Possible Sunshine Percent,Station,Date
32.15,95.83333333333331,101,M,M,M,M,M,0.00,0.0,0,4.2,10,180,M,M,F44,2012-09-01
32.15,95.83333333333331,101,M,M,M,M,M,0.00,0.0,0,4.8,9,240,M,M,F44,2012-09-02
32.15,95.83333333333331,M,M,M,M,M,M,M,M,M,M,M,M,M,M,F44,2012-09-03
32.15,95.83333333333331,M,M,M,M,M,M,M,M,M,M,M,M,M,M,F44,2012-09-04
32.15,95.83333333333331,M,M,M,M,M,M,M,M,M,M,M,M,M,M,F44,2012-09-05
32.15,95.83333333333331,100,M,M,M,M,M,0.00,0.0,0,2.5,9,180,M,M,F44,2012-09-06
32.15,95.83333333333331,101,71,86,M,0,21,0.00,0.0,0,2.7,10,170,M,M,F44,2012-09-07
32.15,95.83333333333331,85,69,77,M,0,12,0.00,0.0,0,10.1,17,10,M,M,F44,2012-09-08
32.15,95.83333333333331,86,55,71,M,0,6,0.00,0.0,0,3.5,13,30,M,M,F44,2012-09-09
32.15,95.83333333333331,91,54,73,M,0,8,0.00,0.0,0,2.7,12,60,M,M,F44,2012-09-10
32.15,95.83333333333331,91,57,74,M,0,9,0.00,0.0,0,4.6,14,140,M,M,F44,2012-09-11
32.15,95.83333333333331,93,61,77,M,0,12,0.00,0.0,0,3.3,9,140,M,M,F44,2012-09-12
32.15,95.83333333333331,90,70,80,M,0,15,1.90,0.0,0,2.9,12,190,M,M,F44,2012-09-13
32.15,95.83333333333331,77,68,73,M,0,8,0.00,0.0,0,2.2,7,360,M,M,F44,2012-09-14
32.15,95.83333333333331,79,65,72,M,0,7,0.00,0.0,0,2.6,6,330,M,M,F44,2012-09-15
32.15,95.83333333333331,71,65,68,M,0,3,0.18,0.0,0,1.1,6,360,M,M,F44,2012-09-16
32.15,95.83333333333331,76,66,71,M,0,6,0.01,0.0,0,1.5,8,80,M,M,F44,2012-09-17
32.15,95.83333333333331,79,60,70,M,0,5,0.00,0.0,0,3.9,10,10,M,M,F44,2012-09-18
32.15,95.83333333333331,82,54,68,M,0,3,0.00,0.0,0,2.1,10,120,M,M,F44,2012-09-19
32.15,95.83333333333331,87,55,71,M,0,6,0.00,0.0,0,2.3,9,170,M,M,F44,2012-09-20
32.15,95.83333333333331,87,58,73,M,0,8,0.00,0.0,0,1.2,6,150,M,M,F44,2012-09-21
32.15,95.83333333333331,91,58,75,M,0,10,0.00,0.0,0,0.4,7,280,M,M,F44,2012-09-22
32.15,95.83333333333331,92,62,77,M,0,12,0.00,0.0,0,1.3,7,140,M,M,F44,2012-09-23
