Latitude,Longitude,Max Temp,Min Temp,Avg Temp,Temp Departure,Heating Degree Days,Cooling Degree Days,Total Precip,Total Snow,Snow Depth,Avg Wind Speed,Max Wind Speed,Max Wind Direction,Minutes of Sunshine,Possible Sunshine Percent,Station,Date
33.65,97.2,91,64,78,3,0,13,0.0,0.0,M,8.8,14,90,M,M,GLE,2003-06-01
33.65,97.2,86,72,79,4,0,14,0.0,0.0,M,6.0,14,290,M,M,GLE,2003-06-02
33.65,97.2,86,63,75,-1,0,10,0.0,0.0,M,4.8,12,50,M,M,GLE,2003-06-03
33.65,97.2,77,64,71,-5,0,6,0.0,0.0,M,9.8,14,60,M,M,GLE,2003-06-04
33.65,97.2,73,66,70,-6,0,5,0.18,0.0,M,9.3,17,100,M,M,GLE,2003-06-05
33.65,97.2,77,64,71,-5,0,6,0.0,0.0,M,8.0,15,340,M,M,GLE,2003-06-06
33.65,97.2,84,55,70,-7,0,5,0.0,0.0,M,2.4,9,140,M,M,GLE,2003-06-07
33.65,97.2,77,59,68,-9,0,3,0.36,0.0,M,5.9,21,340,M,M,GLE,2003-06-08
33.65,97.2,86,64,75,-2,0,10,0.0,0.0,M,8.7,18,160,M,M,GLE,2003-06-09
33.65,97.2,90,61,76,-1,0,11,0.49,0.0,M,10.6,22,150,M,M,GLE,2003-06-10
33.65,97.2,91,64,78,0,0,13,0.02,0.0,M,10.7,25,240,M,M,GLE,2003-06-11
33.65,97.2,73,66,70,-8,0,5,0.87,0.0,M,7.9,17,120,M,M,GLE,2003-06-12
33.65,97.2,79,66,73,-5,0,8,0.03,0.0,M,8.0,18,260,M,M,GLE,2003-06-13
33.65,97.2,86,61,74,-4,0,9,0.2,0.0,M,4.5,10,80,M,M,GLE,2003-06-14
33.65,97.2,84,64,74,-5,0,9,0.0,0.0,M,6.2,13,30,M,M,GLE,2003-06-15
33.65,97.2,82,66,74,-5,0,9,0.15,0.0,M,5.7,13,50,M,M,GLE,2003-06-16
33.65,97.2,84,64,74,-5,0,9,0.0,0.0,M,6.5,12,50,M,M,GLE,2003-06-17
33.65,97.2,86,64,75,-4,0,10,0.0,0.0,M,3.7,10,350,M,M,GLE,2003-06-18
33.65,97.2,86,66,76,-4,0,11,0.0,0.0,M,4.3,10,80,M,M,GLE,2003-06-19
