Latitude,Longitude,Max Temp,Min Temp,Avg Temp,Temp Departure,Heating Degree Days,Cooling Degree Days,Total Precip,Total Snow,Snow Depth,Avg Wind Speed,Max Wind Speed,Max Wind Direction,Minutes of Sunshine,Possible Sunshine Percent,Station,Date
32.35,99.0,72,48,60,M,5,0,0.00,M,M,5.1,6,110,M,M,GZN,2020-11-01
32.35,99.0,72,43,58,M,7,0,0.00,M,M,6.4,12,180,M,M,GZN,2020-11-02
32.35,99.0,79,43,61,M,4,0,0.00,M,M,9.8,16,170,M,M,GZN,2020-11-03
32.35,99.0,79,54,67,M,0,2,0.00,M,M,13.2,16,170,M,M,GZN,2020-11-04
32.35,99.0,82,50,66,M,0,1,0.00,M,M,7.6,15,240,M,M,GZN,2020-11-05
32.35,99.0,79,48,64,M,1,0,0.00,M,M,5.3,14,140,M,M,GZN,2020-11-06
32.35,99.0,75,52,64,M,1,0,0.00,M,M,10.7,15,140,M,M,GZN,2020-11-07
32.35,99.0,77,54,66,M,0,1,0.00,M,M,13.5,22,160,M,M,GZN,2020-11-08
32.35,99.0,77,61,69,M,0,4,0.00,M,M,16.1,21,180,M,M,GZN,2020-11-09
32.35,99.0,72,48,60,M,5,0,0.00,M,M,7.8,15,160,M,M,GZN,2020-11-10
32.35,99.0,75,41,58,M,7,0,0.00,M,M,8.3,12,160,M,M,GZN,2020-11-11
32.35,99.0,82,52,67,M,0,2,0.00,M,M,8.8,18,220,M,M,GZN,2020-11-12
32.35,99.0,70,48,59,M,6,0,0.00,M,M,7.3,14,10,M,M,GZN,2020-11-13
32.35,99.0,81,59,70,M,0,5,M,M,M,13.7,24,210,M,M,GZN,2020-11-14
32.35,99.0,66,43,55,M,10,0,0.00,M,M,6.9,20,360,M,M,GZN,2020-11-15
32.35,99.0,73,39,56,M,9,0,0.00,M,M,9.4,15,170,M,M,GZN,2020-11-16
32.35,99.0,73,43,58,M,7,0,0.00,M,M,9.5,14,170,M,M,GZN,2020-11-17
32.35,99.0,73,41,57,M,8,0,0.00,M,M,13.1,20,180,M,M,GZN,2020-11-18
32.35,99.0,77,54,66,M,0,1,0.00,M,M,13.2,20,210,M,M,GZN,2020-11-19
32.35,99.0,77,57,67,M,0,2,0.00,M,M,11.0,18,200,M,M,GZN,2020-11-20
32.35,99.0,75,52,64,M,1,0,0.00,M,M,7.8,14,220,M,M,GZN,2020-11-21
32.35,99.0,61,46,54,M,11,0,0.00,M,M,8.4,15,360,M,M,GZN,2020-11-22
32.35,99.0,66,41,54,M,11,0,0.00,M,M,10.8,22,150,M,M,GZN,2020-11-23
32.35,99.0,82,52,67,M,0,2,M,M,M,18.0,25,180,M,M,GZN,2020-11-24
32.35,99.0,64,37,51,M,14,0,0.00,M,M,7.0,13,330,M,M,GZN,2020-11-25
32.35,99.0,79,45,62,M,3,0,0.00,M,M,11.7,18,200,M,M,GZN,2020-11-26
32.35,99.0,59,46,53,M,12,0,0.00,M,M,9.7,15,10,M,M,GZN,2020-11-27
32.35,99.0,48,41,45,M,20,0,0.43,M,M,7.4,9,320,M,M,GZN,2020-11-28
32.35,99.0,50,41,46,M,19,0,0.00,M,M,11.5,16,350,M,M,GZN,2020-11-29
32.35,99.0,50,27,39,M,26,0,0.00,M,M,9.3,17,350,M,M,GZN,2020-11-30
32.35,99.0,63,28,46,M,19,0,0.00,M,M,13.5,22,170,M,M,GZN,2020-12-01
32.35,99.0,50,36,43,M,22,0,0.00,M,M,13.2,21,310,M,M,GZN,2020-12-02
32.35,99.0,43,34,39,M,26,0,0.00,M,M,11.5,17,330,M,M,GZN,2020-12-03
32.35,99.0,59,28,44,M,21,0,0.00,M,M,4.4,8,330,M,M,GZN,2020-12-04
32.35,99.0,57,37,47,M,18,0,M,M,M,5.0,10,290,M,M,GZN,2020-12-05
32.35,99.0,59,39,49,M,16,0,0.00,M,M,8.4,14,340,M,M,GZN,2020-12-06
32.35,99.0,64,36,50,M,15,0,0.00,M,M,4.7,8,310,M,M,GZN,2020-12-07
32.35,99.0,72,45,59,M,6,0,0.00,M,M,6.7,9,220,M,M,GZN,2020-12-08
32.35,99.0,79,43,61,M,4,0,0.00,M,M,8.9,14,240,M,M,GZN,2020-12-09
32.35,99.0,79,45,62,M,3,0,0.00,M,M,11.6,20,170,M,M,GZN,2020-12-10
32.35,99.0,66,43,55,M,10,0,0.06,M,M,8.3,15,230,M,M,GZN,2020-12-11
32.35,99.0,54,30,42,M,23,0,0.00,M,M,6.7,16,140,M,M,GZN,2020-12-12
32.35,99.0,43,30,37,M,28,0,0.01,M,M,11.2,20,330,M,M,GZN,2020-12-13
32.35,99.0,50,25,38,M,27,0,0.00,M,M,8.2,13,140,M,M,GZN,2020-12-14
32.35,99.0,57,32,45,M,20,0,0.00,M,M,12.7,20,300,M,M,GZN,2020-12-15
32.35,99.0,52,25,39,M,26,0,0.00,M,M,6.4,13,320,M,M,GZN,2020-12-16
32.35,99.0,63,32,48,M,17,0,0.00,M,M,9.2,13,170,M,M,GZN,2020-12-17
32.35,99.0,61,41,51,M,14,0,0.00,M,M,14.3,24,170,M,M,GZN,2020-12-18
32.35,99.0,57,37,47,M,18,0,M,M,M,8.4,17,320,M,M,GZN,2020-12-19
32.35,99.0,63,32,48,M,17,0,0.00,M,M,6.9,12,330,M,M,GZN,2020-12-20
32.35,99.0,73,37,55,M,10,0,0.00,M,M,9.1,15,220,M,M,GZN,2020-12-21
32.35,99.0,72,37,55,M,10,0,0.00,M,M,12.7,18,190,M,M,GZN,2020-12-22
32.35,99.0,63,32,48,M,17,0,0.00,M,M,16.0,24,350,M,M,GZN,2020-12-23
32.35,99.0,55,25,40,M,25,0,0.00,M,M,9.7,18,300,M,M,GZN,2020-12-24
32.35,99.0,68,32,50,M,15,0,0.00,M,M,5.9,10,210,M,M,GZN,2020-12-25
32.35,99.0,70,36,53,M,12,0,0.00,M,M,11.1,21,200,M,M,GZN,2020-12-26
32.35,99.0,73,46,60,M,5,0,0.00,M,M,11.3,24,220,M,M,GZN,2020-12-27
32.35,99.0,57,41,49,M,16,0,0.00,M,M,9.4,21,120,M,M,GZN,2020-12-28
