Latitude,Longitude,Max Temp,Min Temp,Avg Temp,Temp Departure,Heating Degree Days,Cooling Degree Days,Total Precip,Total Snow,Snow Depth,Avg Wind Speed,Max Wind Speed,Max Wind Direction,Minutes of Sunshine,Possible Sunshine Percent,Station,Date
32.0,97.1,79,54,67,12,0,2,0.00,0.0,0,10.6,20,160,M,M,INJ,2008-03-01
32.0,97.1,73,59,66,10,0,1,0.00,0.0,0,21.5,28,150,M,M,INJ,2008-03-02
32.0,97.1,68,34,51,-5,14,0,0.16,M,0,22.7,30,340,M,M,INJ,2008-03-03
32.0,97.1,61,32,47,-9,18,0,0.00,0.0,0,8.6,15,140,M,M,INJ,2008-03-04
32.0,97.1,72,43,58,2,7,0,0.00,0.0,0,10.8,16,340,M,M,INJ,2008-03-05
32.0,97.1,52,34,43,-14,22,0,0.62,M,0,16.4,24,340,M,M,INJ,2008-03-06
32.0,97.1,52,32,42,-15,23,0,M,M,M,14.2,22,310,M,M,INJ,2008-03-07
32.0,97.1,52,27,40,-17,25,0,0.00,0.0,M,8.1,15,120,M,M,INJ,2008-03-08
32.0,97.1,70,39,55,-2,10,0,0.04,0.0,0,10.7,18,170,M,M,INJ,2008-03-09
32.0,97.1,57,45,51,-6,14,0,0.58,0.0,0,6.2,12,350,M,M,INJ,2008-03-10
32.0,97.1,66,39,53,-5,12,0,0.00,0.0,0,2.8,7,150,M,M,INJ,2008-03-11
32.0,97.1,73,43,58,0,7,0,0.00,0.0,0,9.8,20,160,M,M,INJ,2008-03-12
32.0,97.1,73,54,64,6,1,0,0.00,0.0,0,14.5,24,170,M,M,INJ,2008-03-13
32.0,97.1,88,46,67,8,0,2,0.00,0.0,0,7.1,16,210,M,M,INJ,2008-03-14
32.0,97.1,70,52,61,2,4,0,0.00,0.0,0,11.1,22,350,M,M,INJ,2008-03-15
32.0,97.1,75,46,61,2,4,0,0.00,0.0,0,14.4,22,120,M,M,INJ,2008-03-16
32.0,97.1,81,64,73,14,0,8,0.00,0.0,0,19.5,31,170,M,M,INJ,2008-03-17
32.0,97.1,72,50,61,1,4,0,1.38,0.0,0,19.9,25,340,M,M,INJ,2008-03-18
32.0,97.1,63,46,55,-5,10,0,0.08,0.0,0,17.1,29,320,M,M,INJ,2008-03-19
32.0,97.1,70,43,57,-3,8,0,0.00,0.0,0,9.6,17,180,M,M,INJ,2008-03-20
32.0,97.1,72,46,59,-1,6,0,0.00,0.0,0,8.3,21,190,M,M,INJ,2008-03-21
32.0,97.1,73,48,61,0,4,0,0.00,0.0,0,7.8,13,50,M,M,INJ,2008-03-22
32.0,97.1,61,39,50,-11,15,0,0.00,0.0,0,13.1,21,30,M,M,INJ,2008-03-23
32.0,97.1,64,36,50,-11,15,0,0.00,0.0,0,10.2,16,100,M,M,INJ,2008-03-24
32.0,97.1,77,48,63,2,2,0,0.00,0.0,0,20.1,29,180,M,M,INJ,2008-03-25
32.0,97.1,79,63,71,9,0,6,0.00,0.0,0,20.6,28,170,M,M,INJ,2008-03-26
32.0,97.1,79,63,71,9,0,6,0.00,0.0,0,19.7,27,170,M,M,INJ,2008-03-27
32.0,97.1,68,54,61,-1,4,0,0.00,0.0,0,11.6,16,330,M,M,INJ,2008-03-28
32.0,97.1,64,48,56,-6,9,0,0.10,0.0,0,4.7,9,90,M,M,INJ,2008-03-29
32.0,97.1,84,63,74,12,0,9,0.00,0.0,0,14.6,21,190,M,M,INJ,2008-03-30
32.0,97.1,79,64,72,9,0,7,0.54,0.0,0,15.5,25,180,M,M,INJ,2008-03-31
32.0,97.1,70,52,61,-2,4,0,0.0,0.0,0,11.7,24,340,M,M,INJ,2008-04-01
32.0,97.1,70,55,63,0,2,0,0.0,0.0,0,7.0,12,80,M,M,INJ,2008-04-02
32.0,97.1,77,66,72,9,0,7,0.0,0.0,0,14.6,24,180,M,M,INJ,2008-04-03
32.0,97.1,70,50,60,-3,5,0,0.06,0.0,0,14.1,23,340,M,M,INJ,2008-04-04
32.0,97.1,68,39,54,-10,11,0,0.0,0.0,0,4.9,12,90,M,M,INJ,2008-04-05
32.0,97.1,81,50,66,2,0,1,0.0,0.0,0,11.5,17,170,M,M,INJ,2008-04-06
32.0,97.1,82,59,71,7,0,6,0.0,0.0,0,11.8,17,140,M,M,INJ,2008-04-07
32.0,97.1,82,63,73,9,0,8,0.0,0.0,0,12.6,22,140,M,M,INJ,2008-04-08
32.0,97.1,73,54,64,0,1,0,0.03,0.0,0,13.8,28,140,M,M,INJ,2008-04-09
32.0,97.1,81,59,70,5,0,5,0.69,0.0,0,14.4,30,160,M,M,INJ,2008-04-10
32.0,97.1,70,48,59,-6,6,0,0.0,0.0,0,10.7,20,320,M,M,INJ,2008-04-11
32.0,97.1,68,43,56,-9,9,0,0.0,0.0,0,8.8,20,300,M,M,INJ,2008-04-12
32.0,97.1,63,43,53,-12,12,0,0.0,0.0,0,10.8,23,320,M,M,INJ,2008-04-13
32.0,97.1,66,36,51,-14,14,0,0.0,0.0,0,4.6,9,340,M,M,INJ,2008-04-14
