Latitude,Longitude,Max Temp,Min Temp,Avg Temp,Temp Departure,Heating Degree Days,Cooling Degree Days,Total Precip,Total Snow,Snow Depth,Avg Wind Speed,Max Wind Speed,Max Wind Direction,Minutes of Sunshine,Possible Sunshine Percent,Station,Date
31.633333333333333,0.0,75,49,62,M,3,0,0.0,M,M,5.5,7,300,M,M,LXY,2020-11-01
31.633333333333333,0.0,72,45,59,M,6,0,0.0,M,M,4.5,10,150,M,M,LXY,2020-11-02
31.633333333333333,0.0,76,43,60,M,5,0,0.0,M,M,6.8,12,180,M,M,LXY,2020-11-03
31.633333333333333,0.0,76,46,61,M,4,0,0.0,M,M,7.0,15,170,M,M,LXY,2020-11-04
31.633333333333333,0.0,78,60,69,M,0,4,0.0,M,M,8.5,15,180,M,M,LXY,2020-11-05
31.633333333333333,0.0,79,58,69,M,0,4,0.0,M,M,6.1,13,190,M,M,LXY,2020-11-06
31.633333333333333,0.0,78,54,66,M,0,1,0.0,M,M,4.9,10,90,M,M,LXY,2020-11-07
31.633333333333333,0.0,77,56,67,M,0,2,0.0,M,M,6.4,14,180,M,M,LXY,2020-11-08
31.633333333333333,0.0,82,64,73,M,0,8,0.0,M,M,9.9,21,160,M,M,LXY,2020-11-09
31.633333333333333,0.0,78,59,69,M,0,4,0.0,M,M,8.2,13,270,M,M,LXY,2020-11-10
31.633333333333333,0.0,79,48,64,M,1,0,0.0,M,M,4.5,7,30,M,M,LXY,2020-11-11
31.633333333333333,0.0,82,53,68,M,0,3,0.0,M,M,5.1,14,190,M,M,LXY,2020-11-12
31.633333333333333,0.0,80,60,70,M,0,5,0.0,M,M,3.7,12,190,M,M,LXY,2020-11-13
31.633333333333333,0.0,84,68,76,M,0,11,0.0,M,M,12.1,23,200,M,M,LXY,2020-11-14
31.633333333333333,0.0,73,44,59,M,6,0,0.0,M,M,9.8,24,330,M,M,LXY,2020-11-15
31.633333333333333,0.0,71,41,56,M,9,0,0.0,M,M,3.2,9,160,M,M,LXY,2020-11-16
31.633333333333333,0.0,75,40,58,M,7,0,0.0,M,M,2.9,9,150,M,M,LXY,2020-11-17
31.633333333333333,0.0,76,46,61,M,4,0,0.0,M,M,6.3,15,170,M,M,LXY,2020-11-18
31.633333333333333,0.0,79,51,65,M,0,0,0.0,M,M,10.6,18,190,M,M,LXY,2020-11-19
31.633333333333333,0.0,79,62,71,M,0,6,0.0,M,M,9.6,17,180,M,M,LXY,2020-11-20
31.633333333333333,0.0,79,63,71,M,0,6,0.0,M,M,5.4,13,180,M,M,LXY,2020-11-21
31.633333333333333,0.0,73,51,62,M,3,0,0.0,M,M,9.6,13,10,M,M,LXY,2020-11-22
31.633333333333333,0.0,59,50,55,M,10,0,0.0,M,M,4.7,9,160,M,M,LXY,2020-11-23
31.633333333333333,0.0,79,52,66,M,0,1,0.4,M,M,12.3,20,180,M,M,LXY,2020-11-24
31.633333333333333,0.0,65,45,55,M,10,0,0.01,M,M,6.6,10,340,M,M,LXY,2020-11-25
31.633333333333333,0.0,75,45,60,M,5,0,0.0,M,M,5.3,14,170,M,M,LXY,2020-11-26
31.633333333333333,0.0,65,56,61,M,4,0,0.19,M,M,6.8,13,340,M,M,LXY,2020-11-27
31.633333333333333,0.0,61,51,56,M,9,0,0.11,M,M,6.5,10,80,M,M,LXY,2020-11-28
31.633333333333333,0.0,52,45,49,M,16,0,0.06,M,M,9.2,18,330,M,M,LXY,2020-11-29
31.633333333333333,0.0,52,32,42,M,23,0,0.0,M,M,9.3,15,330,M,M,LXY,2020-11-30
31.633333333333333,0.0,60,29,45,M,20,0,0.00,M,M,8.5,22,170,M,M,LXY,2020-12-01
31.633333333333333,0.0,59,40,50,M,15,0,0.00,M,M,6.3,12,320,M,M,LXY,2020-12-02
31.633333333333333,0.0,50,32,41,M,24,0,0.00,M,M,7.9,16,330,M,M,LXY,2020-12-03
31.633333333333333,0.0,56,37,47,M,18,0,0.00,M,M,5.3,10,200,M,M,LXY,2020-12-04
