Latitude,Longitude,Max Temp,Min Temp,Avg Temp,Temp Departure,Heating Degree Days,Cooling Degree Days,Total Precip,Total Snow,Snow Depth,Avg Wind Speed,Max Wind Speed,Max Wind Direction,Minutes of Sunshine,Possible Sunshine Percent,Station,Date
31.65,98.15,99,75,87,4,0,22,0.00,0.0,0,8.9,16,140,M,M,MNZ,2008-08-01
31.65,98.15,100,73,87,4,0,22,0.00,0.0,0,7.5,12,130,M,M,MNZ,2008-08-02
31.65,98.15,104,72,88,5,0,23,0.00,0.0,0,9.4,20,130,M,M,MNZ,2008-08-03
31.65,98.15,100,73,87,4,0,22,0.00,0.0,0,6.2,12,90,M,M,MNZ,2008-08-04
31.65,98.15,99,73,86,3,0,21,0.00,0.0,0,8.0,20,60,M,M,MNZ,2008-08-05
31.65,98.15,81,68,75,-8,0,10,M,0.0,0,8.8,27,230,M,M,MNZ,2008-08-06
31.65,98.15,93,70,82,-1,0,17,0.00,0.0,0,6.4,10,190,M,M,MNZ,2008-08-07
31.65,98.15,95,70,83,0,0,18,0.00,0.0,0,5.1,9,250,M,M,MNZ,2008-08-08
31.65,98.15,99,72,86,3,0,21,0.00,0.0,0,9.6,16,180,M,M,MNZ,2008-08-09
31.65,98.15,99,73,86,3,0,21,0.00,0.0,0,11.4,17,210,M,M,MNZ,2008-08-10
31.65,98.15,88,77,83,0,0,18,M,0.0,0,4.7,13,170,M,M,MNZ,2008-08-11
31.65,98.15,93,72,83,0,0,18,0.15,0.0,0,6.2,16,350,M,M,MNZ,2008-08-12
31.65,98.15,93,66,80,-3,0,15,0.00,0.0,0,4.7,10,50,M,M,MNZ,2008-08-13
31.65,98.15,95,68,82,-1,0,17,0.00,0.0,0,5.3,14,60,M,M,MNZ,2008-08-14
31.65,98.15,88,70,79,-3,0,14,M,0.0,0,6.2,12,20,M,M,MNZ,2008-08-15
31.65,98.15,79,70,75,-7,0,10,M,0.0,0,6.0,14,360,M,M,MNZ,2008-08-16
31.65,98.15,81,68,75,-7,0,10,M,0.0,0,5.5,12,40,M,M,MNZ,2008-08-17
31.65,98.15,79,70,75,-7,0,10,M,0.0,0,3.8,7,100,M,M,MNZ,2008-08-18
31.65,98.15,81,70,76,-6,0,11,0.00,0.0,0,3.8,15,340,M,M,MNZ,2008-08-19
31.65,98.15,82,68,75,-7,0,10,0.00,0.0,0,4.2,13,310,M,M,MNZ,2008-08-20
31.65,98.15,90,66,78,-3,0,13,0.00,0.0,0,3.8,13,160,M,M,MNZ,2008-08-21
31.65,98.15,93,70,82,1,0,17,0.00,0.0,0,9.3,17,180,M,M,MNZ,2008-08-22
31.65,98.15,91,68,80,-1,0,15,0.00,0.0,0,2.7,8,90,M,M,MNZ,2008-08-23
31.65,98.15,90,70,80,-1,0,15,M,0.0,0,3.9,10,40,M,M,MNZ,2008-08-24
31.65,98.15,90,70,80,-1,0,15,0.00,0.0,0,5.1,10,360,M,M,MNZ,2008-08-25
31.65,98.15,91,70,81,0,0,16,0.00,0.0,0,4.9,13,180,M,M,MNZ,2008-08-26
31.65,98.15,91,70,81,1,0,16,0.00,0.0,0,5.9,10,160,M,M,MNZ,2008-08-27
31.65,98.15,93,72,83,3,0,18,0.00,0.0,0,8.1,12,150,M,M,MNZ,2008-08-28
31.65,98.15,91,72,82,2,0,17,0.00,0.0,0,5.8,15,130,M,M,MNZ,2008-08-29
31.65,98.15,90,70,80,0,0,15,0.00,0.0,0,4.7,13,10,M,M,MNZ,2008-08-30
31.65,98.15,90,68,79,0,0,14,0.00,0.0,0,3.6,10,100,M,M,MNZ,2008-08-31
31.65,98.15,90,68,79,0,0,14,0.00,0.0,0,5.2,13,10,M,M,MNZ,2008-09-01
31.65,98.15,91,70,81,2,0,16,0.00,0.0,0,10.7,17,350,M,M,MNZ,2008-09-02
31.65,98.15,81,64,73,-6,0,8,0.00,0.0,0,16.0,24,310,M,M,MNZ,2008-09-03
31.65,98.15,86,61,74,-4,0,9,0.00,0.0,0,8.4,14,320,M,M,MNZ,2008-09-04
31.65,98.15,90,63,77,-1,0,12,0.00,0.0,0,3.6,8,140,M,M,MNZ,2008-09-05
31.65,98.15,91,61,76,-2,0,11,0.00,0.0,0,7.1,13,120,M,M,MNZ,2008-09-06
31.65,98.15,91,61,76,-2,0,11,0.00,0.0,0,7.3,12,150,M,M,MNZ,2008-09-07
31.65,98.15,84,66,75,-2,0,10,M,0.0,0,6.7,12,190,M,M,MNZ,2008-09-08
31.65,98.15,75,70,73,-4,0,8,M,0.0,0,5.5,13,20,M,M,MNZ,2008-09-09
31.65,98.15,81,70,76,-1,0,11,M,0.0,0,5.9,9,60,M,M,MNZ,2008-09-10
31.65,98.15,88,70,79,2,0,14,0.00,0.0,0,8.2,16,170,M,M,MNZ,2008-09-11
31.65,98.15,90,70,80,4,0,15,0.00,0.0,0,5.8,9,30,M,M,MNZ,2008-09-12
31.65,98.15,82,72,77,1,0,12,M,0.0,0,13.1,29,310,M,M,MNZ,2008-09-13
31.65,98.15,82,63,73,-3,0,8,0.00,0.0,0,9.9,18,40,M,M,MNZ,2008-09-14
31.65,98.15,75,55,65,-11,0,0,0.00,0.0,0,8.2,13,10,M,M,MNZ,2008-09-15
31.65,98.15,79,52,66,-9,0,1,0.00,0.0,0,4.4,10,360,M,M,MNZ,2008-09-16
31.65,98.15,79,52,66,-9,0,1,0.00,0.0,0,4.1,9,60,M,M,MNZ,2008-09-17
31.65,98.15,79,57,68,-7,0,3,0.00,0.0,0,3.9,10,140,M,M,MNZ,2008-09-18
31.65,98.15,81,54,68,-7,0,3,0.00,0.0,0,4.0,8,60,M,M,MNZ,2008-09-19
31.65,98.15,84,55,70,-4,0,5,0.00,0.0,0,3.2,7,50,M,M,MNZ,2008-09-20
31.65,98.15,86,61,74,0,0,9,0.00,0.0,0,4.9,10,110,M,M,MNZ,2008-09-21
31.65,98.15,86,61,74,0,0,9,0.00,0.0,0,7.2,12,90,M,M,MNZ,2008-09-22
31.65,98.15,86,63,75,2,0,10,M,0.0,0,5.5,10,140,M,M,MNZ,2008-09-23
31.65,98.15,88,61,75,2,0,10,0.00,0.0,0,4.9,18,80,M,M,MNZ,2008-09-24
31.65,98.15,82,61,72,-1,0,7,0.00,0.0,0,3.1,9,40,M,M,MNZ,2008-09-25
31.65,98.15,82,57,70,-3,0,5,0.00,0.0,0,3.4,7,30,M,M,MNZ,2008-09-26
31.65,98.15,86,59,73,1,0,8,0.00,0.0,0,3.7,7,150,M,M,MNZ,2008-09-27
31.65,98.15,84,59,72,0,0,7,0.00,0.0,0,4.3,8,50,M,M,MNZ,2008-09-28
31.65,98.15,86,54,70,-2,0,5,0.00,0.0,0,4.0,7,30,M,M,MNZ,2008-09-29
31.65,98.15,84,55,70,-1,0,5,0.00,0.0,0,6.3,12,360,M,M,MNZ,2008-09-30
31.65,98.15,82,54,68,-3,0,3,0.00,0.0,0,3.0,7,150,M,M,MNZ,2008-10-01
31.65,98.15,88,55,72,1,0,7,0.00,0.0,0,6.2,9,140,M,M,MNZ,2008-10-02
31.65,98.15,91,61,76,5,0,11,0.00,0.0,0,9.2,17,210,M,M,MNZ,2008-10-03
31.65,98.15,86,63,75,5,0,10,0.00,0.0,0,12.9,20,150,M,M,MNZ,2008-10-04
31.65,98.15,84,59,72,2,0,7,0.00,0.0,0,15.3,25,140,M,M,MNZ,2008-10-05
31.65,98.15,81,63,72,2,0,7,M,0.0,0,10.9,22,150,M,M,MNZ,2008-10-06
31.65,98.15,77,54,66,-3,0,1,0.00,0.0,0,11.5,21,350,M,M,MNZ,2008-10-07
31.65,98.15,81,50,66,-3,0,1,0.00,0.0,0,3.1,8,160,M,M,MNZ,2008-10-08
31.65,98.15,82,54,68,-1,0,3,0.00,0.0,0,8.2,13,170,M,M,MNZ,2008-10-09
31.65,98.15,82,55,69,1,0,4,0.00,0.0,0,9.0,14,180,M,M,MNZ,2008-10-10
31.65,98.15,81,61,71,3,0,6,0.00,0.0,0,9.1,13,160,M,M,MNZ,2008-10-11
31.65,98.15,82,63,73,5,0,8,0.00,0.0,0,12.1,17,130,M,M,MNZ,2008-10-12
31.65,98.15,79,64,72,4,0,7,M,0.0,0,9.1,15,120,M,M,MNZ,2008-10-13
31.65,98.15,79,64,72,5,0,7,M,0.0,0,7.8,13,140,M,M,MNZ,2008-10-14
31.65,98.15,68,55,62,-5,3,0,M,0.0,0,8.2,17,320,M,M,MNZ,2008-10-15
31.65,98.15,68,52,60,-6,5,0,0.00,0.0,0,9.3,16,340,M,M,MNZ,2008-10-16
31.65,98.15,73,48,61,-5,4,0,0.00,0.0,0,4.0,7,10,M,M,MNZ,2008-10-17
31.65,98.15,77,48,63,-3,2,0,0.00,0.0,0,6.3,10,40,M,M,MNZ,2008-10-18
