Latitude,Longitude,Max Temp,Min Temp,Avg Temp,Temp Departure,Heating Degree Days,Cooling Degree Days,Total Precip,Total Snow,Snow Depth,Avg Wind Speed,Max Wind Speed,Max Wind Direction,Minutes of Sunshine,Possible Sunshine Percent,Station,Date
33.1,98.5,81,36,59,8,6,0,0.00,0.0,0,5.4,16,200,M,M,RPH,2008-03-01
33.1,98.5,77,46,62,11,3,0,0.23,0.0,0,13.4,24,350,M,M,RPH,2008-03-02
33.1,98.5,45,34,40,-11,25,0,0.66,M,0,16.3,25,350,M,M,RPH,2008-03-03
33.1,98.5,68,28,48,-4,17,0,0.00,0.0,M,6.3,13,170,M,M,RPH,2008-03-04
33.1,98.5,59,41,50,-2,15,0,0.00,0.0,0,10.0,18,350,M,M,RPH,2008-03-05
33.1,98.5,41,30,36,-16,29,0,0.02,M,0,10.5,18,360,M,M,RPH,2008-03-06
33.1,98.5,54,28,41,-12,24,0,0.00,0.0,M,8.7,23,340,M,M,RPH,2008-03-07
33.1,98.5,57,19,38,-15,27,0,0.00,0.0,M,5.6,12,140,M,M,RPH,2008-03-08
33.1,98.5,70,37,54,1,11,0,0.99,0.0,M,5.5,10,70,M,M,RPH,2008-03-09
33.1,98.5,70,41,56,3,9,0,0.08,0.0,0,5.3,14,10,M,M,RPH,2008-03-10
33.1,98.5,73,32,53,-1,12,0,0.00,0.0,0,3.2,13,230,M,M,RPH,2008-03-11
33.1,98.5,79,43,61,7,4,0,0.00,0.0,0,7.5,16,200,M,M,RPH,2008-03-12
33.1,98.5,81,54,68,14,0,3,0.00,0.0,0,10.5,22,240,M,M,RPH,2008-03-13
33.1,98.5,88,39,64,9,1,0,0.00,0.0,0,7.6,18,230,M,M,RPH,2008-03-14
33.1,98.5,64,46,55,0,10,0,0.00,0.0,0,9.9,16,330,M,M,RPH,2008-03-15
33.1,98.5,72,43,58,3,7,0,M,0.0,0,10.8,20,120,M,M,RPH,2008-03-16
33.1,98.5,81,55,68,13,0,3,0.36,0.0,0,11.9,18,120,M,M,RPH,2008-03-17
33.1,98.5,57,46,52,-4,13,0,1.96,0.0,0,15.2,25,360,M,M,RPH,2008-03-18
33.1,98.5,66,43,55,-1,10,0,0.00,0.0,0,9.8,18,320,M,M,RPH,2008-03-19
33.1,98.5,77,37,57,1,8,0,0.00,0.0,0,7.8,15,150,M,M,RPH,2008-03-20
33.1,98.5,77,50,64,7,1,0,0.00,0.0,0,6.8,15,360,M,M,RPH,2008-03-21
33.1,98.5,73,46,60,3,5,0,0.00,0.0,0,7.3,12,70,M,M,RPH,2008-03-22
33.1,98.5,55,34,45,-12,20,0,0.02,0.0,0,9.1,18,360,M,M,RPH,2008-03-23
33.1,98.5,68,28,48,-9,17,0,0.00,0.0,0,6.8,16,200,M,M,RPH,2008-03-24
33.1,98.5,82,52,67,9,0,2,0.00,0.0,0,12.6,18,190,M,M,RPH,2008-03-25
33.1,98.5,88,59,74,16,0,9,0.00,0.0,0,10.1,16,220,M,M,RPH,2008-03-26
33.1,98.5,90,61,76,18,0,11,0.00,0.0,0,11.7,18,210,M,M,RPH,2008-03-27
33.1,98.5,59,45,52,-6,13,0,0.00,0.0,0,11.2,17,340,M,M,RPH,2008-03-28
33.1,98.5,61,48,55,-4,10,0,0.00,0.0,0,2.9,6,140,M,M,RPH,2008-03-29
33.1,98.5,88,59,74,15,0,9,0.00,0.0,0,8.9,17,200,M,M,RPH,2008-03-30
33.1,98.5,91,64,78,19,0,13,0.00,0.0,0,12.5,20,210,M,M,RPH,2008-03-31
