Latitude,Longitude,Max Temp,Min Temp,Avg Temp,Temp Departure,Heating Degree Days,Cooling Degree Days,Total Precip,Total Snow,Snow Depth,Avg Wind Speed,Max Wind Speed,Max Wind Direction,Minutes of Sunshine,Possible Sunshine Percent,Station,Date
32.7,96.26666666666668,67,32,50,M,15,0,0.00,0.0,M,11.3,29,290,M,M,TRL,2003-01-01
32.7,96.26666666666668,53,35,44,M,21,0,0.00,0.0,M,12.1,26,300,M,M,TRL,2003-01-02
32.7,96.26666666666668,61,29,45,M,20,0,0.00,0.0,M,4.1,12,140,M,M,TRL,2003-01-03
32.7,96.26666666666668,69,39,54,M,11,0,0.00,0.0,M,7.1,16,200,M,M,TRL,2003-01-04
32.7,96.26666666666668,67,36,52,M,13,0,0.00,0.0,M,4.4,12,20,M,M,TRL,2003-01-05
32.7,96.26666666666668,61,37,49,M,16,0,0.00,0.0,M,9.8,16,10,M,M,TRL,2003-01-06
32.7,96.26666666666668,55,31,43,M,22,0,0.00,0.0,M,5.8,12,360,M,M,TRL,2003-01-07
32.7,96.26666666666668,73,38,56,M,9,0,0.00,0.0,M,8.0,17,220,M,M,TRL,2003-01-08
32.7,96.26666666666668,77,52,65,M,0,0,0.00,0.0,M,13.0,25,350,M,M,TRL,2003-01-09
32.7,96.26666666666668,52,34,43,M,22,0,0.00,0.0,M,8.1,22,10,M,M,TRL,2003-01-10
32.7,96.26666666666668,47,35,41,M,24,0,0.00,0.0,M,6.5,13,100,M,M,TRL,2003-01-11
32.7,96.26666666666668,43,34,39,M,26,0,0.20,M,M,6.5,13,90,M,M,TRL,2003-01-12
32.7,96.26666666666668,45,34,40,M,25,0,0.00,0.0,M,3.4,9,160,M,M,TRL,2003-01-13
32.7,96.26666666666668,54,44,49,M,16,0,0.00,0.0,M,4.2,7,220,M,M,TRL,2003-01-14
32.7,96.26666666666668,50,41,46,M,19,0,0.00,0.0,M,9.8,22,150,M,M,TRL,2003-01-15
32.7,96.26666666666668,53,30,42,M,23,0,0.00,0.0,M,16.5,32,320,M,M,TRL,2003-01-16
32.7,96.26666666666668,42,23,33,M,32,0,0.00,0.0,M,6.4,14,10,M,M,TRL,2003-01-17
32.7,96.26666666666668,57,27,42,M,23,0,0.00,0.0,M,5.7,22,280,M,M,TRL,2003-01-18
32.7,96.26666666666668,65,29,47,M,18,0,0.00,0.0,M,7.7,22,220,M,M,TRL,2003-01-19
32.7,96.26666666666668,75,49,62,M,3,0,0.00,0.0,M,13.8,25,200,M,M,TRL,2003-01-20
32.7,96.26666666666668,67,44,56,M,9,0,0.00,0.0,M,12.9,24,200,M,M,TRL,2003-01-21
32.7,96.26666666666668,49,36,43,M,22,0,0.00,0.0,M,11.1,18,360,M,M,TRL,2003-01-22
32.7,96.26666666666668,36,22,29,M,36,0,0.00,0.0,M,12.3,21,20,M,M,TRL,2003-01-23
32.7,96.26666666666668,40,20,30,M,35,0,0.00,0.0,M,5.9,12,180,M,M,TRL,2003-01-24
32.7,96.26666666666668,41,37,39,M,26,0,0.04,M,M,6.5,14,180,M,M,TRL,2003-01-25
32.7,96.26666666666668,45,32,39,M,26,0,0.04,M,M,6.2,14,340,M,M,TRL,2003-01-26
32.7,96.26666666666668,55,24,40,M,25,0,0.00,0.0,M,7.4,18,180,M,M,TRL,2003-01-27
32.7,96.26666666666668,66,51,59,M,6,0,T,0.0,M,12.9,28,200,M,M,TRL,2003-01-28
32.7,96.26666666666668,61,45,53,M,12,0,0.00,0.0,M,11.9,20,340,M,M,TRL,2003-01-29
32.7,96.26666666666668,49,43,46,M,19,0,0.00,0.0,M,6.7,15,160,M,M,TRL,2003-01-30
32.7,96.26666666666668,66,41,54,M,11,0,0.00,0.0,M,7.5,16,200,M,M,TRL,2003-01-31
32.7,96.26666666666668,73,34,54,M,11,0,0.00,0.0,M,7.4,20,170,M,M,TRL,2003-02-01
32.7,96.26666666666668,74,52,63,M,2,0,0.00,0.0,M,16.1,26,180,M,M,TRL,2003-02-02
32.7,96.26666666666668,70,54,62,M,3,0,T,0.0,M,17.0,21,290,M,M,TRL,2003-02-03
32.7,96.26666666666668,55,33,44,M,21,0,0.00,0.0,M,6.4,15,30,M,M,TRL,2003-02-04
32.7,96.26666666666668,51,36,44,M,21,0,0.54,M,M,9.2,21,130,M,M,TRL,2003-02-05
32.7,96.26666666666668,44,39,42,M,23,0,0.36,M,M,10.4,21,340,M,M,TRL,2003-02-06
32.7,96.26666666666668,42,28,35,M,30,0,0.00,0.0,M,10.3,22,360,M,M,TRL,2003-02-07
32.7,96.26666666666668,45,33,39,M,26,0,0.00,0.0,M,6.1,12,170,M,M,TRL,2003-02-08
32.7,96.26666666666668,50,40,45,M,20,0,0.13,M,M,7.0,14,150,M,M,TRL,2003-02-09
32.7,96.26666666666668,58,37,48,M,17,0,0.00,0.0,M,4.8,14,20,M,M,TRL,2003-02-10
32.7,96.26666666666668,67,37,52,M,13,0,0.00,0.0,M,7.3,21,200,M,M,TRL,2003-02-11
32.7,96.26666666666668,69,43,56,M,9,0,0.00,0.0,M,5.9,13,160,M,M,TRL,2003-02-12
32.7,96.26666666666668,65,60,63,M,2,0,0.10,0.0,M,9.9,20,170,M,M,TRL,2003-02-13
32.7,96.26666666666668,68,63,66,M,0,1,1.00,0.0,M,12.5,22,170,M,M,TRL,2003-02-14
32.7,96.26666666666668,68,41,55,M,10,0,0.00,0.0,M,13.9,23,320,M,M,TRL,2003-02-15
32.7,96.26666666666668,41,31,36,M,29,0,T,M,M,12.6,22,340,M,M,TRL,2003-02-16
32.7,96.26666666666668,58,28,43,M,22,0,0.00,0.0,M,5.4,16,160,M,M,TRL,2003-02-17
32.7,96.26666666666668,64,46,55,M,10,0,0.00,0.0,M,12.8,24,170,M,M,TRL,2003-02-18
32.7,96.26666666666668,64,50,57,M,8,0,T,0.0,M,10.7,23,190,M,M,TRL,2003-02-19
32.7,96.26666666666668,51,48,50,M,15,0,0.83,M,M,9.9,15,70,M,M,TRL,2003-02-20
32.7,96.26666666666668,53,47,50,M,15,0,0.91,M,M,9.9,20,30,M,M,TRL,2003-02-21
32.7,96.26666666666668,65,47,56,M,9,0,0.16,M,M,11.8,24,350,M,M,TRL,2003-02-22
32.7,96.26666666666668,70,35,53,M,12,0,0.00,0.0,M,17.6,35,200,M,M,TRL,2003-02-23
32.7,96.26666666666668,36,24,30,M,35,0,0.44,M,M,13.1,21,340,M,M,TRL,2003-02-24
32.7,96.26666666666668,32,22,27,M,38,0,0.44,M,M,9.2,20,10,M,M,TRL,2003-02-25
32.7,96.26666666666668,36,31,34,M,31,0,T,M,M,6.3,12,20,M,M,TRL,2003-02-26
32.7,96.26666666666668,41,34,38,M,27,0,0.00,0.0,M,5.8,10,320,M,M,TRL,2003-02-27
32.7,96.26666666666668,47,37,42,M,23,0,0.00,0.0,M,4.9,10,110,M,M,TRL,2003-02-28
32.7,96.26666666666668,52,43,48,M,17,0,0.00,0.0,M,5.2,10,50,M,M,TRL,2003-03-01
32.7,96.26666666666668,57,47,52,M,13,0,0.00,0.0,M,7.8,16,30,M,M,TRL,2003-03-02
32.7,96.26666666666668,54,41,48,M,17,0,0.09,M,M,5.2,13,30,M,M,TRL,2003-03-03
32.7,96.26666666666668,60,45,53,M,12,0,0.00,0.0,M,12.6,23,160,M,M,TRL,2003-03-04
32.7,96.26666666666668,54,33,44,M,21,0,0.00,0.0,M,11.2,21,300,M,M,TRL,2003-03-05
32.7,96.26666666666668,60,29,45,M,20,0,0.00,0.0,M,5.1,13,350,M,M,TRL,2003-03-06
32.7,96.26666666666668,77,41,59,M,6,0,0.00,0.0,M,9.1,17,160,M,M,TRL,2003-03-07
32.7,96.26666666666668,69,53,61,M,4,0,0.06,0.0,M,7.1,17,160,M,M,TRL,2003-03-08
32.7,96.26666666666668,64,45,55,M,10,0,0.00,0.0,M,7.8,14,10,M,M,TRL,2003-03-09
32.7,96.26666666666668,61,39,50,M,15,0,0.00,0.0,M,5.8,13,80,M,M,TRL,2003-03-10
32.7,96.26666666666668,75,45,60,M,5,0,0.00,0.0,M,9.1,22,180,M,M,TRL,2003-03-11
32.7,96.26666666666668,75,61,68,M,0,3,0.00,0.0,M,10.1,16,160,M,M,TRL,2003-03-12
32.7,96.26666666666668,77,59,68,M,0,3,0.21,0.0,M,7.5,23,30,M,M,TRL,2003-03-13
32.7,96.26666666666668,76,49,63,M,2,0,0.00,0.0,M,4.5,10,150,M,M,TRL,2003-03-14
32.7,96.26666666666668,80,53,67,M,0,2,0.00,0.0,M,5.0,15,220,M,M,TRL,2003-03-15
32.7,96.26666666666668,79,56,68,M,0,3,0.00,0.0,M,5.9,14,170,M,M,TRL,2003-03-16
32.7,96.26666666666668,79,56,68,M,0,3,T,0.0,M,7.5,17,170,M,M,TRL,2003-03-17
32.7,96.26666666666668,64,53,59,M,6,0,0.71,0.0,M,6.8,21,300,M,M,TRL,2003-03-18
32.7,96.26666666666668,75,49,62,M,3,0,0.02,M,M,12.2,24,230,M,M,TRL,2003-03-19
32.7,96.26666666666668,60,52,56,M,9,0,0.00,0.0,M,13.6,23,260,M,M,TRL,2003-03-20
32.7,96.26666666666668,64,44,54,M,11,0,0.00,0.0,M,4.2,12,320,M,M,TRL,2003-03-21
32.7,96.26666666666668,64,44,54,M,11,0,0.20,M,M,4.2,13,250,M,M,TRL,2003-03-22
32.7,96.26666666666668,74,45,60,M,5,0,0.00,M,M,5.9,15,200,M,M,TRL,2003-03-23
32.7,96.26666666666668,79,55,67,M,0,2,0.00,0.0,M,13.3,23,170,M,M,TRL,2003-03-24
32.7,96.26666666666668,77,59,68,M,0,3,0.44,0.0,M,9.6,16,10,M,M,TRL,2003-03-25
32.7,96.26666666666668,72,52,62,M,3,0,0.00,0.0,M,7.1,16,360,M,M,TRL,2003-03-26
32.7,96.26666666666668,79,53,66,M,0,1,0.00,0.0,M,15.4,28,190,M,M,TRL,2003-03-27
32.7,96.26666666666668,65,47,56,M,9,0,0.00,0.0,M,14.0,25,330,M,M,TRL,2003-03-28
32.7,96.26666666666668,56,39,48,M,17,0,0.00,0.0,M,10.9,25,10,M,M,TRL,2003-03-29
32.7,96.26666666666668,64,33,49,M,16,0,0.00,0.0,M,4.6,16,320,M,M,TRL,2003-03-30
32.7,96.26666666666668,77,43,60,M,5,0,0.00,0.0,M,10.6,20,190,M,M,TRL,2003-03-31
32.7,96.26666666666668,78,53,66,M,0,1,0.00,0.0,M,17.3,30,200,M,M,TRL,2003-04-01
32.7,96.26666666666668,80,57,69,M,0,4,0.00,0.0,M,16.1,29,200,M,M,TRL,2003-04-02
32.7,96.26666666666668,78,62,70,M,0,5,0.00,0.0,M,14.7,23,170,M,M,TRL,2003-04-03
32.7,96.26666666666668,79,60,70,M,0,5,0.14,0.0,M,10.2,16,170,M,M,TRL,2003-04-04
32.7,96.26666666666668,75,55,65,M,0,0,T,0.0,M,9.7,14,80,M,M,TRL,2003-04-05
32.7,96.26666666666668,67,55,61,M,4,0,0.00,0.0,M,1.4,6,290,M,M,TRL,2003-04-06
32.7,96.26666666666668,72,49,61,M,4,0,0.00,0.0,M,9.6,18,350,M,M,TRL,2003-04-07
32.7,96.26666666666668,59,43,51,M,14,0,0.00,0.0,M,15.4,20,340,M,M,TRL,2003-04-08
32.7,96.26666666666668,64,34,49,M,16,0,0.00,0.0,M,9.5,17,310,M,M,TRL,2003-04-09
32.7,96.26666666666668,73,34,54,M,11,0,0.00,0.0,M,2.2,12,240,M,M,TRL,2003-04-10
32.7,96.26666666666668,78,44,61,M,4,0,0.00,0.0,M,2.9,12,190,M,M,TRL,2003-04-11
32.7,96.26666666666668,80,45,63,M,2,0,0.00,0.0,M,3.2,10,170,M,M,TRL,2003-04-12
32.7,96.26666666666668,84,55,70,M,0,5,0.00,0.0,M,7.3,20,160,M,M,TRL,2003-04-13
32.7,96.26666666666668,84,57,71,M,0,6,0.00,0.0,M,12.2,23,150,M,M,TRL,2003-04-14
32.7,96.26666666666668,80,63,72,M,0,7,T,0.0,M,17.3,28,160,M,M,TRL,2003-04-15
32.7,96.26666666666668,88,67,78,M,0,13,0.00,0.0,M,15.5,26,260,M,M,TRL,2003-04-16
32.7,96.26666666666668,80,53,67,M,0,2,0.00,0.0,M,4.0,14,10,M,M,TRL,2003-04-17
32.7,96.26666666666668,81,62,72,M,0,7,0.00,0.0,M,11.1,21,160,M,M,TRL,2003-04-18
32.7,96.26666666666668,81,67,74,M,0,9,0.35,0.0,M,15.9,24,160,M,M,TRL,2003-04-19
32.7,96.26666666666668,75,54,65,M,0,0,0.00,0.0,M,8.1,18,330,M,M,TRL,2003-04-20
